Tag No.,Equipment / Document Title,Serial No.,Cal. Freq,First Calibration,Last Calibration,Next Calibration,Status,Owner,Location,Type of Calibration,Remark
B422,Insulation Resistance Tester KIKUSUI T0S7200,ND003286,2,12-May-2020,27-Feb-2026,27-Feb-2028,Due >30d,Sarmadi,IPI QC WH,External Calibration,
B421,Resistance Hi Tester HIOKI 3541,100629428,2,12-May-2020,27-Feb-2026,27-Feb-2028,Due >30d,Sarmadi,IPI QC WH,External Calibration,
CAL 9,STAINLESS STEEL TEST WEIGHT (500g),1716,5,08-May-2009,28-Feb-2023,28-Feb-2028,Due >30d,Feti,IPI QA,External Calibration,
CAL 15,STAINLESS STEEL TEST WEIGHT (5kg),1150,5,08-Jun-2023,08-Jun-2023,08-Jun-2028,Due >30d,Feti,IPI QA,External Calibration,
B482,45 MIRROR JIG,NA,2,26-Sep-2024,26-Aug-2026,26-Aug-2028,Due >30d,Sarmadi,IPI QC  CA (YEB),Internal Verification,
CAL 10,OPTICAL PARALLEL 12.00 MM  Model: 157-101,18842,5,16-Jan-2018,09-Oct-2023,09-Oct-2028,Due >30d,Feti,IPI QA,External Calibration,
CAL 12,STAINLESS STEEL TEST WEIGHT (10 KG),CT53422,5,12-Jan-2021,20-Dec-2023,20-Dec-2028,Due >30d,Feti,IPI QA,External Calibration,
CAL 13,STAINLESS STEEL TEST WEIGHT (10KG),CT53423,5,12-Jan-2021,20-Dec-2023,20-Dec-2028,Due >30d,Feti,IPI QA,External Calibration,
B508,GRANITE TABLE SYLMOS 200*150*50MM,NA,5,04-Mar-2025,21-Feb-2025,21-Feb-2030,Due >30d,Tika,IPI MCX,External Calibration,
CAL 6,STAINLESS STEEL TEST WEIGHT (2kg),2387,5,29-Sep-2016,27-Jul-2026,27-Jul-2031,Due >30d,Feti,IPI QA,External Calibration,
CAL 3,STAINLESS STEEL TEST WEIGHT (2g),2384,5,29-Sep-2016,27-Jul-2026,27-Jul-2031,Due >30d,Feti,IPI QA,External Calibration,
CAL 4,STAINLESS STEEL TEST WEIGHT (5g),2385,5,29-Sep-2016,27-Jul-2026,27-Jul-2031,Due >30d,Feti,IPI QA,External Calibration,
CAL 5,STAINLESS STEEL TEST WEIGHT (20g),2386,5,29-Sep-2016,27-Jul-2026,27-Jul-2031,Due >30d,Feti,IPI QA,External Calibration,
